Average m/z,Average rt,Average sn,Average score,/home/hack_summer/mass-suite/example_data/ex_2.mzM,/home/hack_summer/mass-suite/example_data/ex_1.mzM,/home/hack_summer/mass-suite/example_data/ex_3.mzM
457.3057,12.697,5000.0,1.0,21405664.0,3763019.8,21462588.0
458.31284,12.697,3338.9158,1.0,4088159.0,4182188.8,4146553.5
473.27267,10.07,5000.0,1.0,11219345.0,11299182.0,11172215.0
474.27707,10.077,3336.985,1.0,2391970.5,2472923.5,2397716.0
476.3113,4.553,5000.0,1.0,626243.7,641794.3,630682.2
477.36987,17.26,5000.0,1.0,2101343.2,10729043.0,2336821.0
478.3734,17.253,5000.0,1.0,2040380.0,1521356.6,3430977.5
479.29593,7.14,3335.7012,1.0,462007.3,692837.4,830474.7
491.38663,17.5,5000.0,1.0,2148435.5,2185380.8,2129105.2
493.41537,17.637,5000.0,1.0,1805014.8,1834832.6,1751488.9
498.36423,9.21,5.705333,1.0,1000310.56,1008594.9,944194.7
498.40408,14.05,5000.0,1.0,869359.25,822514.7,927767.75
500.38168,9.583,5000.0,1.0,9846718.0,9906909.0,9925843.0
504.3099,4.59,5000.0,1.0,443509.0,493463.0,494333.22
505.4038,17.797,2.997,1.0,630902.25,409795.1,734664.25
508.99133,0.64,5000.0,1.0,1835752.6,1691289.5,1845468.1
512.3481,8.0,5000.0,1.0,1278393.4,1330712.9,1327789.5
515.0123,0.64,5000.0,1.0,1068882.4,1077137.2,1057280.8
519.54364,5.34,5000.0,1.0,1170538.9,1134968.8,1113609.6
537.54395,19.33,3335.2922,1.0,194040.61,189323.39,291498.4
543.58734,5.347,5000.0,1.0,13939506.0,14077002.0,13880009.0
544.58844,5.35,5000.0,1.0,5090983.5,5090004.5,5018011.5
545.5914,5.347,5000.0,1.0,313775.28,370261.0,314328.7
547.37286,17.023,5000.0,1.0,2241495.0,2249783.2,2232597.0
548.3371,4.73,5000.0,1.0,350572.9,361281.75,356142.3
558.4304,10.643,5000.0,1.0,7842163.0,8208747.5,8123882.5
559.582,5.347,5000.0,1.0,1403664.2,1461870.2,1382080.1
560.38837,13.283,3335.926,1.0,1399743.4,1411518.5,1300635.4
565.3603,8.477,5000.0,1.0,20063512.0,40414892.0,40032170.0
565.5677,20.23,6.386667,1.0,463233.1,457128.62,568043.3
566.36005,8.477,5000.0,1.0,16123627.0,16323582.0,16171202.0
567.36896,8.467,5000.0,1.0,2464207.8,2437562.5,2388268.8
570.38776,9.097,3335.3557,1.0,559670.0,940101.7,506889.8
572.4067,9.437,1670.2177,1.0,770193.56,1031202.5,878250.2
587.55475,20.23,1671.7579,1.0,1579072.9,1652347.6,1672505.0
590.9961,0.643,5000.0,1.0,1055641.8,1066252.4,1051745.5
591.4104,14.92,5000.0,1.0,185049.23,0.0,0.0
592.357,4.853,3335.4827,1.0,353846.28,355230.47,249344.27
595.5921,19.43,5000.0,1.0,4704891.5,7718151.5,2553525.5
597.0193,0.64,5000.0,1.0,323864.25,329777.28,320860.28
604.4079,13.363,5000.0,1.0,1074247.4,1032940.25,1040810.56
616.4696,11.427,5000.0,1.0,5882713.0,6031971.0,5933801.5
623.6248,20.44,5000.0,1.0,16470566.0,16528560.0,16606369.0
624.62335,20.383,3339.0967,1.0,760921.9,3569942.2,1311740.6
663.45984,19.203,37.143333,1.0,58635590.0,59498548.0,59642908.0
664.46906,19.207,5000.0,1.0,27258714.0,27586640.0,27276200.0
665.4665,19.3,5000.0,1.0,5296551.5,5434347.0,5055269.0
673.0019,0.64,5000.0,1.0,574210.75,573348.5,563019.5
674.5112,12.25,5000.0,1.0,3860430.0,3855240.5,3822888.5
680.48645,19.203,5000.0,1.0,18385364.0,18411068.0,18268184.0
681.4945,19.357,5000.0,1.0,7261653.0,7737194.0,7111656.5
682.4902,19.2,5000.0,1.0,190918.42,290105.8,187323.89
685.4448,19.547,3345.6868,1.0,17617720.0,17122356.0,17056664.0
686.44635,19.237,5000.0,1.0,7043570.5,6965975.5,6837986.0
686.5835,15.553,5000.0,1.0,1623515.2,1676573.4,1561911.2
711.4992,17.76,5000.0,1.0,1396148.0,1514800.8,878188.25
721.511,19.697,452.97998,1.0,154527490.0,154932830.0,154350420.0
721.511,19.207,86.50033,1.0,152701860.0,153319410.0,152617150.0
722.52167,19.717,75.39066,1.0,70278610.0,71040000.0,69378216.0
722.52167,19.207,32.328,1.0,66391740.0,66342444.0,65407744.0
723.51953,19.417,5000.0,1.0,16248949.0,16200342.0,16297945.0
724.5186,19.2,4.8686666,1.0,582550.5,499437.25,461561.47
726.6082,15.543,5000.0,1.0,694655.9,705098.8,687102.06
727.6116,15.55,5000.0,1.0,7881940.5,8003465.0,7875519.5
728.6164,15.553,5000.0,1.0,2788966.2,2863187.2,2816483.8
732.54694,12.91,5000.0,1.0,1250861.9,2221994.0,1247666.6
739.53894,18.255,5000.0,1.0,236696.3,292916.06,0.0
755.007,0.64,5000.0,1.0,210859.16,263274.72,206492.53
783.66895,16.483,5000.0,1.0,4797589.0,4794201.5,4690515.0
784.67267,16.487,5000.0,1.0,1724269.5,1758546.2,1668511.9
790.59534,13.525,2501.7715,1.0,337795.47,440767.7,0.0
922.0183,1.573,2.2676668,1.0,268027.8,377689.7,202766.98
922.01886,0.98,2.1705,1.0,249587.0,0.0,431497.94
922.0183,0.393,2.1346667,1.0,201594.64,347009.94,266620.62
1342.9464,19.207,5000.0,1.0,2210319.5,2236018.2,2324682.8
1343.9404,19.207,5000.0,1.0,2084156.9,2001674.6,2077232.0
1347.8973,19.21,5000.0,1.0,0.0,734804.8,734100.44
